thick,crossplane,y,x,r,temp
1e-05,8.86422,1,1,0.6,500
1.25893e-05,8.93361,1,1,0.6,500
1.58489e-05,8.99076,1,1,0.6,500
1.99526e-05,9.03752,1,1,0.6,500
2.51189e-05,9.07556,1,1,0.6,500
3.16228e-05,9.10636,1,1,0.6,500
3.98107e-05,9.13122,1,1,0.6,500
5.01187e-05,9.15122,1,1,0.6,500
6.30957e-05,9.16726,1,1,0.6,500
7.94328e-05,9.18011,1,1,0.6,500
0.0001,9.19038,1,1,0.6,500
1.25893e-09,0.808765,2,2,0.6,500
1.58489e-09,0.904033,2,2,0.6,500
1.99526e-09,1.00512,2,2,0.6,500
2.51189e-09,1.11205,2,2,0.6,500
3.16228e-09,1.22494,2,2,0.6,500
3.98107e-09,1.34395,2,2,0.6,500
5.01187e-09,1.46931,2,2,0.6,500
6.30957e-09,1.60128,2,2,0.6,500
7.94328e-09,1.74018,2,2,0.6,500
1e-08,1.88635,2,2,0.6,500
1.25893e-08,2.04014,2,2,0.6,500
1.58489e-08,2.20187,2,2,0.6,500
1.99526e-08,2.3718,2,2,0.6,500
2.51189e-08,2.55014,2,2,0.6,500
3.16228e-08,2.73699,2,2,0.6,500
3.98107e-08,2.93235,2,2,0.6,500
5.01187e-08,3.13608,2,2,0.6,500
6.30957e-08,3.3479,2,2,0.6,500
7.94328e-08,3.56739,2,2,0.6,500
1e-07,3.79395,2,2,0.6,500
1.25893e-07,4.02682,2,2,0.6,500
1.58489e-07,4.26503,2,2,0.6,500
1.99526e-07,4.5074,2,2,0.6,500
2.51189e-07,4.75257,2,2,0.6,500
3.16228e-07,4.99897,2,2,0.6,500
3.98107e-07,5.24488,2,2,0.6,500
5.01187e-07,5.4884,2,2,0.6,500
6.30957e-07,5.72753,2,2,0.6,500
7.94328e-07,5.96013,2,2,0.6,500
1e-06,6.184,2,2,0.6,500
1.25893e-06,6.39696,2,2,0.6,500
1.58489e-06,6.59691,2,2,0.6,500
1.99526e-06,6.78204,2,2,0.6,500
2.51189e-06,6.95096,2,2,0.6,500
3.16228e-06,7.10276,2,2,0.6,500
3.98107e-06,7.23717,2,2,0.6,500
5.01187e-06,7.35449,2,2,0.6,500
6.30957e-06,7.4555,2,2,0.6,500
7.94328e-06,7.54142,2,2,0.6,500
1e-05,7.61369,2,2,0.6,500
1.25893e-05,7.6739,2,2,0.6,500
1.58489e-05,7.72364,2,2,0.6,500
1.99526e-05,7.76444,2,2,0.6,500
2.51189e-05,7.7977,2,2,0.6,500
3.16228e-05,7.8247,2,2,0.6,500
3.98107e-05,7.84651,2,2,0.6,500
5.01187e-05,7.86408,2,2,0.6,500
6.30957e-05,7.87819,2,2,0.6,500
7.94328e-05,7.88949,2,2,0.6,500
0.0001,7.89854,2,2,0.6,500
1.25893e-09,0.735696,1,2,0.30000000000000004,300
1.58489e-09,0.827452,1,2,0.30000000000000004,300
1.99526e-09,0.924935,1,2,0.30000000000000004,300
2.51189e-09,1.02809,1,2,0.30000000000000004,300
3.16228e-09,1.13693,1,2,0.30000000000000004,300
3.98107e-09,1.25158,1,2,0.30000000000000004,300
5.01187e-09,1.37224,1,2,0.30000000000000004,300
6.30957e-09,1.49919,1,2,0.30000000000000004,300
7.94328e-09,1.6328,1,2,0.30000000000000004,300
1e-08,1.77349,1,2,0.30000000000000004,300
1.25893e-08,1.92174,1,2,0.30000000000000004,300
1.58489e-08,2.07807,1,2,0.30000000000000004,300
